timestamp,z
12:54:15.119,-1.39
12:54:15.131,1.00
12:54:15.143,-0.18
12:54:15.156,-1.11
12:54:15.162,-0.31
12:54:15.176,1.00
12:54:15.188,-2.80
12:54:15.201,0.18
12:54:15.210,-0.87
12:54:15.221,-0.98
12:54:15.233,0.56
12:54:15.246,1.00
12:54:15.254,-2.44
12:54:15.267,-0.68
12:54:15.280,-0.20
12:54:15.291,0.14
12:54:15.300,0.20
12:54:15.311,1.00
12:54:15.323,0.69
12:54:15.336,0.33
12:54:15.345,-0.76
12:54:15.356,1.00
12:54:15.370,-2.17
12:54:15.381,-1.77
12:54:15.388,0.05
12:54:15.402,-0.64
12:54:15.415,-2.30
12:54:15.427,-1.79
12:54:15.435,-1.62
12:54:15.447,1.00
12:54:15.459,0.95
12:54:15.471,1.00
12:54:15.478,0.39
12:54:15.488,0.14
12:54:15.502,0.95
12:54:15.514,-1.73
12:54:15.525,1.00
12:54:15.537,-1.72
12:54:15.549,-0.07
12:54:15.561,-0.42
12:54:15.569,1.00
12:54:15.581,0.80
12:54:15.594,1.00
12:54:15.607,-1.10
12:54:15.615,1.00
12:54:15.627,-0.79
12:54:15.638,-0.95
12:54:15.651,0.60
12:54:15.660,1.00
12:54:15.671,-1.49
12:54:15.683,-1.13
12:54:15.697,-1.33
12:54:15.705,0.40
12:54:15.715,-0.27
12:54:15.729,1.00
12:54:15.741,-1.59
12:54:15.750,0.51
12:54:15.762,-1.28
12:54:15.775,1.00
12:54:15.786,-0.01
12:54:15.796,-0.40
12:54:15.807,1.00
12:54:15.819,1.00
12:54:15.832,-1.21
12:54:15.840,0.04
12:54:15.852,0.72
12:54:15.865,-0.90
12:54:15.877,-2.13
12:54:15.883,-2.71
12:54:15.897,-2.26
12:54:15.908,0.78
12:54:15.921,1.00
12:54:15.930,-0.81
12:54:15.943,0.37
12:54:15.955,-0.11
12:54:15.967,-0.40
12:54:15.975,-1.12
12:54:15.987,0.38
12:54:16.000,-0.44
12:54:16.012,0.91
12:54:16.020,-0.56
12:54:16.033,0.05
12:54:16.045,0.18
12:54:16.057,1.00
12:54:16.065,0.56
12:54:16.077,1.00
12:54:16.090,-2.61
12:54:16.102,-0.29
12:54:16.110,-0.60
12:54:16.122,1.00
12:54:16.135,-2.27
12:54:16.147,1.00
12:54:16.155,-0.67
12:54:16.167,0.66
12:54:16.180,-1.16
12:54:16.192,-0.09
12:54:16.200,-1.81
12:54:16.212,-0.50
12:54:16.225,-1.70
12:54:16.238,-0.09
12:54:16.243,-0.41
12:54:16.258,-1.06
12:54:16.270,1.00
12:54:16.282,0.23
12:54:16.290,0.65
12:54:16.303,-0.29
12:54:16.314,0.85
12:54:16.328,-0.21
12:54:16.332,-0.12
12:54:16.348,-0.75
12:54:16.358,-1.37
12:54:16.372,0.98
12:54:16.381,0.11
12:54:16.392,-0.46
12:54:16.403,0.11
12:54:16.417,0.39
12:54:16.425,1.00
12:54:16.438,-0.57
12:54:16.449,0.61
12:54:16.463,-1.22
12:54:16.471,0.54
12:54:16.483,-2.54
12:54:16.495,1.00
12:54:16.508,-1.89
12:54:16.515,0.46
12:54:16.528,1.00
12:54:16.540,1.00
12:54:16.553,0.11
12:54:16.559,-0.85
12:54:16.573,-1.06
12:54:16.586,-0.88
12:54:16.598,-2.17
12:54:16.605,-1.14
12:54:16.618,-1.77
12:54:16.630,1.00
12:54:16.642,-1.25
12:54:16.649,0.56
12:54:16.663,-0.51
12:54:16.676,0.44
12:54:16.688,-0.39
12:54:16.696,-0.29
12:54:16.708,-0.15
12:54:16.720,0.59
12:54:16.732,0.24
12:54:16.740,1.00
12:54:16.752,1.00
12:54:16.765,1.00
12:54:16.778,-2.64
12:54:16.786,0.24
12:54:16.798,-1.36
12:54:16.808,0.42
12:54:16.824,-2.46
12:54:16.831,-2.13
12:54:16.843,-0.85
12:54:16.855,0.58
12:54:16.868,0.96
12:54:16.876,1.00
12:54:16.888,1.00
12:54:16.900,-0.46
12:54:16.913,0.91
12:54:16.921,-0.05
12:54:16.934,0.51
12:54:16.946,-1.07
12:54:16.958,1.00
12:54:16.966,-2.50
12:54:16.979,-0.88
12:54:16.991,-0.80
12:54:17.001,-2.45
12:54:17.011,-1.69
12:54:17.022,-0.63
12:54:17.036,-1.14
12:54:17.048,-0.74
12:54:17.057,-0.78
12:54:17.069,0.20
12:54:17.081,1.00
12:54:17.094,1.00
12:54:17.101,-2.58
12:54:17.114,0.85
12:54:17.126,-1.50
12:54:17.139,-0.11
12:54:17.147,-1.21
12:54:17.158,1.00
12:54:17.171,0.38
12:54:17.183,0.34
12:54:17.192,0.50
12:54:17.204,1.00
12:54:17.216,1.00
12:54:17.228,1.00
12:54:17.236,0.64
12:54:17.249,0.63
12:54:17.260,-1.13
12:54:17.273,1.00
12:54:17.281,0.54
12:54:17.294,-0.63
12:54:17.306,0.51
12:54:17.319,-0.16
12:54:17.327,-0.95
12:54:17.340,1.00
12:54:17.351,-0.01
12:54:17.364,0.70
12:54:17.372,1.00
12:54:17.384,0.90
12:54:17.396,0.03
12:54:17.409,-2.06
12:54:17.417,0.60
12:54:17.429,-1.30
12:54:17.442,1.00
12:54:17.454,-0.80
12:54:17.462,-1.22
12:54:17.475,-0.18
12:54:17.486,-0.53
12:54:17.499,-0.93
12:54:17.507,-0.02
